Month,crime_count,Ethnic_Asian_Bangladeshi,Ethnic_Asian_Chinese,Ethnic_Asian_Indian,Ethnic_Asian_Other,Ethnic_Asian_Pakistani,Ethnic_Black_African,Ethnic_Black_Caribbean,Ethnic_Black_Other,ethnic_does_not_apply,Ethnic_Mixed_Other,Ethnic_Mixed_White_Asian,Ethnic_Mixed_White_Black_African,Ethnic_Mixed_White_Black_Caribbean,Ethnic_Other,Ethnic_Arab,Ethnic_White_British,Ethnic_White_Gypsy_Traveller,Ethnic_White_Irish,Ethnic_White_Other,Ethnic_White_Roma,economy_does_not_apply,Economy_Employed,Economy_Not_Employed,employment_does_not_apply,Employment_Never_Worked,Employment_Not_Worked_12M,Employment_Worked_12M,education_does_not_apply,Education_Level_1,Education_Level_2,Education_Level_3,Education_Level_4+,Education_No_Qualifications,Education_Other_Qualifications,Migrant_Student_UK,Migrant_Same_Address,Migrant_NA,Migrant_Outside_UK,Migrant_Within_UK
2021-03-01,457,153,250,316,846,98,296,128,54,0,432,584,207,497,291,88,131697,67,830,3550,75,20873,57910,61677,78783,9935,45548,6193,20873,13355,17501,21444,32783,22064,12439,234,125058,991,677,13499
2021-03-01,571,5972,5125,4051,5389,995,18091,7368,3284,0,6053,3750,2257,4171,12339,2991,86092,108,7062,40534,958,32963,114970,68658,147933,24162,32049,12445,32963,10273,13146,22337,103975,25257,8638,2244,171898,2456,5860,34129
2021-03-01,365,1488,3839,3209,7207,1282,6944,3237,1098,0,3465,3047,1288,1725,7766,6384,46883,84,2825,40553,1049,20286,69440,53649,89726,18619,27076,7954,20286,5446,8803,15439,73226,13971,6204,1704,116001,1270,5649,18751
2021-03-01,372,103,400,1238,979,166,518,143,182,0,617,526,429,450,860,152,136966,417,655,9386,139,25433,69223,59669,94656,11276,42402,5991,25433,15595,19503,21172,30036,30136,12450,203,138317,1364,1132,13309
2021-03-01,1188,1279,1234,1259,2451,1292,4292,232,541,0,1249,1172,1144,948,3488,1443,223962,451,455,19835,286,53137,117789,96088,170926,30354,53599,12135,53137,24163,30143,37418,46511,54010,21635,2152,234760,3088,2012,25002
2021-03-01,296,932,4127,7731,12768,4380,3105,1081,555,0,2802,3540,1090,1564,5979,3580,90288,61,2633,21404,445,32599,84148,51316,116747,13764,29152,8399,32599,8744,13319,19766,69582,16128,7927,1492,145077,1802,2831,16861
2021-03-01,1609,1065,1526,22739,4077,54795,4180,4324,1444,0,2140,3980,1035,6433,4591,1915,305579,168,2335,10573,314,86941,190084,156191,277025,47081,91330,17780,86941,33776,46112,60187,103532,71832,30835,1552,391644,4759,2787,32473
2021-03-01,567,32,630,936,726,186,964,130,170,0,688,577,653,740,563,289,142698,24,855,3545,112,30220,69492,54807,99712,18502,30193,6112,30220,13203,17898,21411,29578,32600,9609,119,141962,1793,608,10037
2021-03-01,819,2502,4986,6054,5641,3868,37359,28991,9795,0,8735,4541,4006,8348,15397,2649,119395,146,6828,46872,1537,48710,182819,86125,231529,29047,40140,16938,48710,16252,21025,31935,151312,35185,13235,2284,257601,3147,5753,48866
2021-03-01,388,355,1597,1629,961,613,1019,125,71,0,616,823,341,424,825,477,125552,309,802,6310,90,23291,62401,57239,85695,13485,35074,8680,23291,10307,14998,27060,38664,18885,9727,3417,120294,1235,1882,16105
2021-03-01,3314,5876,8117,21087,12018,31405,32211,7889,5276,0,5656,7410,4294,10028,12905,5980,595737,878,6892,36684,1610,153483,374064,284407,527546,77744,160051,46612,153483,60190,79192,120782,228358,119597,50349,12684,689265,8816,9592,91596
2021-03-01,1605,7055,2481,126421,11347,12673,21536,4466,2764,0,3439,3659,1776,5025,11870,3402,122395,457,1789,25177,839,77557,154934,136080,232491,54644,58698,22738,77557,31152,33954,46860,77900,77692,23456,5526,316173,4203,7030,35640
2021-03-01,202,249,376,482,694,98,436,182,104,0,730,795,405,531,540,186,88830,100,811,4293,67,16683,44507,38715,61190,6547,28094,4074,16683,8498,11840,13794,28978,13372,6740,175,89710,798,465,8756
2021-03-01,700,1826,6296,5046,11398,2361,37834,31883,10756,0,7394,4359,3774,8726,12480,1671,111726,116,5055,36819,1033,58142,155712,86699,213854,28635,42205,15859,58142,17738,23426,31537,120814,35447,13448,1313,261095,3842,3428,30875
2021-03-01,225,163,315,1477,310,231,201,316,84,0,415,608,169,795,385,50,97952,29,663,2231,42,17840,50472,38124,68315,7063,27044,4017,17840,8930,12487,15241,29789,15110,7039,200,96068,963,323,8883
2021-03-01,429,322,788,788,1147,302,1094,236,136,0,568,657,373,470,948,320,85891,145,652,8818,159,16746,46718,40349,63464,10247,21934,8168,16746,8461,11149,22253,22943,15135,7126,3697,82373,1035,1282,15426
2021-03-01,2068,1917,8841,6251,7085,3673,12709,1493,2762,0,4934,3662,4157,4127,7722,8312,375785,501,6826,24162,1169,83060,205750,197278,288810,66625,97059,33594,83060,34955,46141,80909,124150,90049,26824,10464,407929,5014,7214,55467
2021-03-01,617,20630,901,12096,8555,41143,11774,8216,2745,0,2437,2429,1268,3486,5677,2106,71532,238,4570,24650,808,52563,98721,73977,151285,29340,33473,11164,52563,19650,21943,24832,51546,39478,15249,446,199322,3133,3756,18604
2021-03-01,615,649,655,2145,4196,568,2567,643,396,0,1108,1316,611,978,1836,249,144114,1009,994,11474,273,33646,86409,55727,120055,11591,37416,6720,33646,15510,21706,24906,42531,24786,12695,354,154597,1930,1188,17716
2021-03-01,151,143,127,224,211,36,119,76,41,0,232,328,107,230,192,16,62268,176,439,1202,44,10780,31256,24172,42036,4213,17374,2585,10780,6744,8920,9798,14080,10674,5212,95,59564,559,209,5780
2021-03-01,168,59,295,300,276,121,162,68,32,0,237,470,160,252,228,48,74197,195,391,1982,14,12366,35800,31320,48166,4974,23241,3106,12366,5781,9379,10781,26021,9778,5380,244,71392,549,403,6898
2021-03-01,15,9673,12644,14857,12060,65875,47858,10472,7563,0,6898,6149,5992,9987,13250,15028,268572,597,9442,34138,883,113980,234283,203675,348263,81350,83518,38807,113980,34988,45164,79621,164763,86110,27312,12519,447364,6581,12659,72814
2021-03-01,368,338,337,839,470,250,755,263,156,0,330,345,219,650,632,186,96475,89,387,7579,182,20312,51367,38803,71679,9767,24919,4116,20312,10542,13216,15853,19902,21910,8747,134,99885,1103,616,8744
2021-03-01,1432,1962,1273,7693,3431,2125,11266,2552,1905,0,1882,2158,1394,2425,3508,452,218953,749,1866,13710,469,57016,132606,90151,189622,23375,55102,11674,57016,26898,35426,40009,57001,43158,20265,739,249090,3274,1711,24959
2021-03-01,96,22,115,306,143,13,103,67,22,0,138,239,76,206,125,35,48064,25,269,1767,17,8806,25465,17481,34271,2915,12596,1970,8806,4293,6303,7908,13349,7034,4059,89,46603,435,208,4417
2021-03-01,209,86,402,317,457,36,230,90,49,0,436,643,237,350,361,44,106608,240,756,4660,87,20038,55671,40380,75709,6735,28994,4649,20038,9097,14339,16704,32616,15504,7791,367,103717,994,762,10249
2021-03-01,175,46,156,308,269,92,59,13,19,0,164,129,86,131,210,17,54916,56,113,2029,26,11162,25635,22042,36797,6142,13769,2131,11162,4556,6911,7453,11911,12831,4015,51,54365,607,243,3573
2021-03-01,374,2470,3615,9607,14660,9667,12218,7632,3037,0,4278,3756,1722,3009,7976,1923,88673,194,4337,35600,813,42415,112065,60707,154480,18123,32938,9646,42415,12368,16510,21786,86412,24609,11086,683,187420,2740,2960,21384
2021-03-01,148,24,182,168,173,15,63,22,16,0,264,319,122,194,190,33,77699,142,326,2854,47,14647,40282,27923,54929,4596,20131,3196,14647,6968,10548,12262,20928,11614,5884,168,73913,752,350,7668
2021-03-01,170,36,176,204,372,33,274,166,113,0,418,365,200,480,357,44,96581,93,442,2320,27,16394,50024,36281,66418,5504,26964,3813,16394,9148,12784,15667,25917,15185,7604,208,91729,866,548,9348
2021-03-01,207,599,588,2489,1550,279,871,309,157,0,1041,1597,555,634,964,209,130971,175,1456,7972,150,29250,76572,46744,105822,7567,33351,5826,29250,11498,18511,22257,47689,14457,8904,401,135506,1508,1110,14043
2021-03-01,717,595,669,2804,2032,8990,3339,162,315,0,671,1110,650,570,2016,1452,114421,160,434,3212,320,29986,56434,57504,86420,21446,29159,6900,29986,11221,15270,19976,30127,27282,10063,755,126756,1621,2244,12548
2021-03-01,985,3189,2913,15348,7032,7163,21502,2975,3374,0,3204,2973,2551,2997,4376,1349,178568,156,2382,24430,578,62229,143378,81453,205607,19853,48631,12969,62229,24422,32011,35371,80545,35577,16905,704,251495,3256,3164,28441
2021-03-01,139,243,459,868,820,247,450,170,86,0,672,878,227,417,575,229,74983,99,948,4963,53,15047,42341,29998,57388,4975,21471,3552,15047,6236,9857,11182,31214,8901,4949,290,78505,730,558,7304
2021-03-01,157,52,277,317,445,94,132,62,36,0,295,376,183,261,236,88,87566,36,451,2034,19,14718,42830,35409,57548,5849,25961,3599,14718,6463,10589,12172,30809,12315,5891,226,84351,735,397,7248
2021-03-01,349,508,387,527,607,224,274,148,100,0,344,493,211,535,316,105,135111,170,437,1760,33,25107,59189,57993,84296,14872,37295,5826,25107,10667,17359,20433,30280,27722,10721,361,130003,1266,470,10189
2021-03-01,413,176,435,577,843,72,399,162,142,0,609,801,327,478,556,87,163847,480,833,4843,115,27041,78702,70042,105743,10275,52818,6949,27041,15276,22002,26369,46380,23951,14766,287,158810,1293,736,14658
2021-03-01,272,107,300,496,343,165,431,225,148,0,396,535,218,695,411,123,111939,342,569,5413,103,20988,57114,44854,78102,9543,30511,4800,20988,10577,14913,18403,29579,19448,9048,234,109646,1201,484,11390
2021-03-01,1063,7248,5382,7304,5441,8753,8555,340,1026,0,2027,2600,1378,915,4981,4175,223567,332,1895,13177,1031,51675,125078,123372,176753,40205,60262,22905,51675,19729,25891,52768,86063,46232,17767,9539,240278,2973,4737,42598
2021-03-01,284,273,639,1707,1076,947,931,227,131,0,409,672,248,659,660,197,110947,71,365,3079,61,20116,56682,46501,76798,10301,30493,5707,20116,9991,14052,20200,28938,20689,9313,1214,109233,1116,562,11174
2021-03-01,900,55677,6213,38642,16439,31216,40874,13586,6842,0,5525,3324,3317,4253,13641,3534,51819,353,2039,51394,2342,74863,163445,112728,238307,54952,38773,19003,74863,24931,28082,35783,111130,57151,19097,1070,300631,4790,7621,36924
2021-03-01,450,2858,711,2023,1799,4803,2687,553,497,0,1095,1188,640,1528,1738,999,128245,168,685,6969,406,32169,72789,54634,104958,15124,33236,6275,32169,11741,18188,19978,39544,27690,10282,345,144997,1839,1061,11350
2021-03-01,168,87,191,324,443,90,179,80,66,0,324,417,136,297,257,82,92944,58,387,2196,54,16418,45163,37030,61581,5881,26760,4390,16418,9099,12743,14604,23458,14596,7694,191,87346,789,545,9740
2021-03-01,227,20,216,327,279,110,170,107,47,0,236,372,141,421,167,23,97657,45,306,1344,15,16727,46563,38711,63290,7371,27658,3682,16727,9101,12364,15328,23507,17066,7908,128,93191,910,233,7539
2021-03-01,614,318,438,543,802,336,644,98,104,0,432,502,306,377,671,366,145362,65,320,5156,127,29444,68849,58673,98293,15494,37093,6086,29444,15531,20513,20885,27537,30907,12150,186,141536,1534,674,13036
2021-03-01,204,581,709,3811,1319,536,1458,1331,446,0,1129,1455,509,1820,1195,291,108298,39,1684,6518,81,25467,67161,40582,92628,7282,28235,5065,25467,9987,14358,16645,44740,14652,7359,357,119595,1411,603,11243
2021-03-01,198,85,286,370,327,92,239,104,73,0,327,450,218,373,307,92,111304,57,510,2830,28,20059,56892,41123,76951,7597,29352,4174,20059,9741,14570,19662,29278,15887,8877,280,105242,984,539,11029
2021-03-01,502,1840,451,1126,1192,1013,663,85,70,0,458,717,289,356,1148,224,150554,168,556,8548,226,30213,76223,63244,106436,15245,41614,6384,30213,16292,21104,23954,33361,30466,14290,224,153715,1561,888,13291
2021-03-01,211,23,151,110,267,14,96,59,28,0,249,310,172,247,218,27,98403,86,471,2015,32,13835,41659,47486,55494,6687,36218,4581,13835,10337,13574,14426,23391,18332,9085,158,92794,628,372,9028
2021-03-01,476,433,725,1067,949,148,733,251,155,0,940,1191,497,1007,957,247,195915,187,1210,9948,169,38161,102702,75865,140863,12275,55379,8211,38161,17219,26482,32377,60489,26615,15385,508,194056,1942,1089,19133
2021-03-01,583,1009,1225,1539,1095,528,1020,102,159,0,702,1013,663,501,854,350,193303,54,797,3940,114,37455,97265,74247,134720,19237,47414,7596,37455,16025,24300,28969,56375,29968,15875,288,190192,1978,802,15707
2021-03-01,139,11,89,463,156,125,113,196,55,0,202,268,101,542,169,32,60598,19,475,1367,55,11137,31754,22144,42891,4702,14861,2581,11137,6217,8265,9482,13387,11954,4593,81,59145,599,161,5049
2021-03-01,281,14,234,784,443,68,423,144,75,0,312,576,174,530,416,65,96430,129,454,3373,63,18540,51961,34204,70501,6679,23293,4232,18540,8570,12133,16173,25818,15813,7658,436,93680,1052,357,9180
2021-03-01,845,302,521,1183,854,514,400,124,74,0,628,1033,440,456,742,268,308015,176,910,3864,62,51721,140777,128069,192498,28891,86935,12244,51721,26051,38873,47690,82653,48173,25406,468,291002,2575,983,25539
2021-03-01,629,839,1627,2570,2303,528,2807,395,376,0,1327,1287,966,939,1639,900,111623,214,885,12485,214,23159,65720,55043,88879,13448,31240,10356,23159,11147,14453,25170,41202,20617,8173,3621,115730,1341,2069,21162
2021-03-01,1061,2223,4263,11515,8532,21684,18740,9339,4136,0,3442,3363,2129,10129,7037,3673,185580,269,2360,24091,1130,59310,128868,135455,188177,43571,61658,30227,59310,23096,29844,66236,75673,51554,17919,13344,254460,3166,6245,46417
2021-03-01,433,121,357,7154,2210,940,1622,492,332,0,419,694,270,1066,1413,169,109807,95,697,6213,127,25609,63114,45474,88723,11311,28898,5264,25609,12912,16263,18440,26577,24568,9827,197,121508,1474,606,10411
2021-03-01,133,315,325,12189,1020,2282,725,394,135,0,408,730,194,541,1515,382,34512,10,360,1692,18,10537,25988,21219,36526,5297,13192,2732,10537,4581,6035,8731,15123,8771,3969,189,51280,493,472,5313
2021-03-01,1,21754,819,1676,2514,32802,6065,876,1268,0,900,1829,1043,2353,2770,521,157914,177,1279,4978,549,55053,98206,88829,153259,32077,46495,10257,55053,20672,26021,30829,46023,46208,17282,277,222759,2980,1496,14576
2021-03-01,459,2025,4479,6005,5863,6619,5060,1629,846,0,2820,3197,1072,1916,4499,1449,86672,62,2351,24975,501,25322,73326,63392,98648,17979,28849,16564,25322,8339,10389,28127,65698,17204,6961,6696,119351,1382,6590,28019
2021-03-01,386,146,221,243,472,77,147,55,42,0,317,400,163,282,326,93,116816,574,701,2250,34,20809,52765,49786,73574,9056,35721,5009,20809,9333,15533,17462,31991,19283,8949,248,111751,1001,508,9851
2021-03-01,280,302,161,242,366,24502,174,51,19,0,277,885,95,231,641,235,63320,97,342,3692,126,20535,39623,35599,60158,11763,19876,3961,20535,8006,9740,12521,19085,18639,7231,130,86759,1105,982,6781
2021-03-01,722,442,990,7169,5228,16972,6225,1419,1107,0,1979,2021,1627,1990,5023,897,128353,551,1177,31562,938,48100,100968,66605,149068,19423,37769,9413,48100,20666,24191,25727,43956,37471,15562,383,190028,2700,2316,20245
2021-03-01,907,537,1430,1403,2188,389,2022,460,304,0,1339,1349,860,1108,1902,677,236802,165,1055,10537,168,46071,121018,97606,167089,22570,61100,13936,46071,21388,30727,47362,60155,37894,21098,3233,228569,2450,1712,28731
2021-03-01,934,4742,2116,3104,3805,603,5369,950,751,0,1527,1540,1244,1176,2790,1007,161664,118,1066,14105,324,37183,97787,73033,134970,18579,41032,13423,37183,16434,22404,37296,51190,29766,13731,3639,172537,2234,2802,26792
2021-03-01,365,79,160,176,782,50,74,96,51,0,320,373,147,295,306,100,126357,105,581,3068,49,20633,61726,50810,82359,8517,37170,5123,20633,9694,16747,19125,35849,21316,9805,285,120584,1052,472,10779
2021-03-01,597,758,707,19047,1749,7554,2355,827,307,0,781,1321,506,1759,1685,1157,97715,114,923,8321,248,29166,66634,52034,95800,16187,28352,7496,29166,11143,15243,21665,37641,23079,9899,1573,126872,1756,2388,15246
2021-03-01,571,1132,2694,10777,7959,8279,7665,3293,1574,0,2041,2117,1249,3555,3720,1282,93167,107,2040,20999,573,32864,88866,52494,121730,14860,27392,10242,32864,12932,15070,23734,57149,22361,10116,2913,143154,1980,3914,22263
2021-03-01,702,31895,2918,51183,16837,44000,14573,8452,3071,0,4288,3577,1717,3154,14359,2263,71844,185,3092,31749,1104,68243,141627,100390,209870,40547,45720,14123,68243,20878,27163,33074,102696,41948,16258,648,276586,4062,3948,25016
2021-03-01,475,158,208,175,336,283,182,48,35,0,240,460,215,270,211,321,131789,87,350,1148,14,24189,55621,56721,79810,15841,35561,5319,24189,10983,15663,21300,28003,24732,11661,148,125080,1176,331,9796
2021-03-01,245,226,236,1042,343,3148,335,550,169,0,335,498,120,1330,465,64,71742,53,539,5782,57,16785,42694,27557,59479,6350,17672,3535,16785,8168,11026,12108,18162,14605,6182,120,79035,956,384,6543
2021-03-01,260,887,950,4637,2880,2029,2878,1000,537,0,1633,1895,745,1268,1716,457,115949,278,1724,9238,145,30717,75127,45002,105843,9125,29894,5983,30717,10997,17047,19632,48338,15765,8350,421,133758,1681,1222,13764
2021-03-01,674,247,894,958,1002,405,749,116,132,0,601,709,524,635,560,198,226123,69,516,3187,28,43808,103389,90454,147197,24048,57478,8928,43808,18283,29121,32637,51749,46915,15136,782,217430,2304,924,16211
2021-03-01,95,24,139,385,136,581,76,35,14,0,165,323,123,125,132,51,57916,7,340,978,15,10099,30385,21077,40484,3450,15406,2221,10099,4059,6746,8863,20456,6802,4536,146,54987,464,314,5650
2021-03-01,276,916,2777,7236,4789,1749,2260,936,491,0,3565,4238,1205,1654,4629,1721,123093,85,4866,28667,400,39444,97565,58269,137009,12608,36926,8735,39444,7779,14029,18830,94089,14163,6944,921,169369,2023,3279,19686
2021-03-01,85,9,46,68,1199,24,167,132,141,0,128,150,81,103,506,38,46027,33,196,721,12,8036,24679,17061,32715,3019,11865,2177,8036,3904,6097,7766,13702,6425,3846,142,42979,433,658,5564
2021-03-01,2,5170,867,1190,3654,30525,6476,440,1011,0,1035,1736,1210,1303,2854,815,156669,194,1735,6724,163,48826,94459,80487,143285,27002,44498,8988,48826,18414,24559,29467,46238,40649,15622,263,204136,2788,1455,15131
2021-03-01,164,77,266,439,306,97,402,140,91,0,310,493,198,431,260,36,80339,104,462,1180,31,14951,40658,30052,55609,5390,21432,3230,14951,9084,12358,13097,16095,13556,6520,124,78219,793,178,6346
2021-03-01,184,1587,209,226,222,1632,89,58,25,0,200,425,153,265,190,77,64073,28,509,886,14,13572,33116,24184,46687,5808,15803,2573,13572,5433,8145,10561,17565,10672,4924,103,64697,688,181,5202
2021-03-01,202,118,265,427,553,27,344,163,54,0,448,568,265,421,342,126,85362,168,782,2634,47,13621,37934,41555,51555,7016,30878,3661,13621,8802,11688,13035,23746,15007,7211,181,83474,677,438,8340
2021-03-01,902,123,756,1312,1984,10001,2260,336,420,0,788,1300,583,1183,2028,778,234613,227,655,5760,699,50234,117803,97770,168037,27241,60330,10199,50234,24545,33613,36879,49807,50529,20200,270,243523,2756,800,18458
2021-03-01,235,299,787,5322,1357,963,1897,793,420,0,637,987,408,1170,1161,149,85684,73,1071,10978,207,22176,58106,34081,80282,7077,22755,4248,22176,8974,12919,15159,32174,14451,8513,312,100482,1188,910,11471
2021-03-01,192,406,961,4030,1906,837,1092,358,141,0,945,1192,402,574,1217,461,63965,371,1131,7903,187,15361,42457,30261,57818,7083,17754,5424,15361,6543,9130,15509,25643,10528,5364,2042,73125,885,1287,10740
2021-03-01,152,129,900,3471,777,1498,574,398,123,0,711,1226,291,1075,708,369,102479,45,893,3367,43,21354,56978,40745,78332,7345,28239,5161,21354,6924,11725,16649,44227,11727,6471,1083,104980,1040,718,11257
2021-03-01,302,297,507,2105,10526,1223,1448,652,431,0,630,829,412,707,2593,180,70917,190,658,5346,108,18885,53015,27856,71900,7836,15916,4104,18885,9582,11523,13850,24115,14803,6998,218,87478,1265,923,9872
2021-03-01,73,19,149,236,170,60,251,213,88,0,166,249,93,236,198,13,37372,86,265,1168,18,6751,18783,15515,25534,2762,10952,1801,6751,2953,5278,5835,13012,4491,2731,201,36049,275,284,4239
2021-03-01,63,20,93,52,118,42,62,19,12,0,130,132,89,73,132,32,51963,59,236,1418,25,8382,25961,20364,34343,3253,14808,2302,8382,4381,6730,7555,15303,8210,4145,156,48979,416,271,4884
2021-03-01,4,803,3319,3744,2998,4074,13477,1338,1658,0,1963,1844,2098,2596,4548,3214,199614,295,2882,18942,515,53000,127606,89317,180606,28553,46554,14210,53000,20027,27231,36911,72678,42829,17247,2561,227662,3543,3890,32266
2021-03-01,1482,11074,1204,44378,9220,22148,12668,13103,4008,0,2448,3274,928,8030,11709,2016,177929,324,1591,15405,375,75804,141072,124956,216876,47741,62719,14496,75804,30586,36175,39465,60316,76839,22647,343,312638,4244,2622,21985
2021-03-01,351,187,222,357,463,143,268,44,19,0,278,404,164,223,376,128,101848,60,316,3100,136,16626,46550,45560,63176,8470,31962,5128,16626,9288,13002,15466,25365,18938,10051,212,97629,887,580,9428
2021-03-01,292,188,246,725,585,62,249,90,84,0,383,493,258,297,521,75,114340,185,494,5938,128,21562,59147,44634,80709,8201,31568,4865,21562,11654,16176,18553,27081,20290,10027,195,112143,1087,578,11340
2021-03-01,844,423,1216,1009,1384,262,1006,308,195,0,1117,1225,821,893,1311,523,256327,47,2241,8705,220,46843,124597,107793,171440,25952,70851,10990,46843,23885,32729,40580,69495,45890,19813,411,255274,2452,1394,19702
2021-03-01,143,6,215,246,189,38,140,52,36,0,210,322,122,230,234,94,86380,156,360,2915,43,16556,46124,29308,62680,5391,20415,3503,16556,7686,11027,13710,24194,12094,6719,138,82737,943,287,7883
2021-03-01,268,236,765,1326,905,252,1332,370,230,0,842,1347,337,655,755,158,103116,460,1085,6272,72,23911,56384,40219,80295,7526,28122,4571,23911,9281,14060,15101,36073,15087,7001,317,108586,1243,764,9604
2021-03-01,1683,4258,7393,6798,7440,27671,18237,4647,2628,0,4535,5214,2431,7524,8575,8956,414698,341,2750,19971,2456,100271,242007,214243,342278,63214,118632,32397,100271,41454,53589,84712,152194,88425,35876,9793,477724,5718,6709,56577
2021-03-01,675,237,909,1614,1121,443,576,300,241,0,1076,1259,400,1126,1043,386,301918,349,1506,8945,158,51360,152423,119823,203783,21026,85969,12826,51360,26154,40900,47417,88502,45573,23700,757,288903,2656,1784,29506
2021-03-01,603,910,594,30209,8063,34317,7815,2771,1406,0,1688,1945,824,1854,7144,1826,38101,237,1143,17296,357,39566,73700,45234,113266,17795,19844,7595,39566,12764,14336,16181,41423,23966,10264,308,141153,2166,2182,12691
2021-03-01,658,1077,1758,11344,2058,7608,1346,2033,576,0,1305,2073,423,3695,2388,888,168398,74,3919,5220,57,41739,97939,76562,139678,17281,50849,8432,41739,16623,24691,28266,61847,30642,12432,455,196307,2074,1156,16248
2021-03-01,216,420,1956,4205,1961,857,1431,341,247,0,1371,1832,600,788,1409,414,128985,478,1447,13200,175,31758,82267,48094,114025,8366,33700,6028,31758,10095,15214,18451,62375,15409,8818,520,144233,1590,1392,14382
2021-03-01,255,29,287,2630,494,401,465,294,96,0,343,616,189,786,652,88,96634,72,437,2643,50,20254,53906,33048,74158,6655,22356,4037,20254,8596,12843,16365,27668,13922,7560,188,95900,1095,333,9692
2021-03-01,482,581,2113,4867,2181,1352,2787,1219,528,0,1720,1953,905,2711,1900,751,249160,443,1327,13553,373,53058,147612,89754,200670,16487,60322,12945,53058,23996,33959,46440,78233,33792,20946,1642,256214,3064,2096,27407
2021-03-01,84,34,158,175,212,35,71,61,17,0,318,413,107,210,243,147,83481,81,456,2358,51,13659,40585,34383,54245,4884,25775,3724,13659,6329,10121,12682,29878,9725,6235,192,78377,581,532,8945
2021-03-01,238,66,205,467,372,66,324,118,75,0,336,343,219,327,531,50,80244,168,274,10764,173,16124,45234,33764,61358,6303,24024,3437,16124,9844,12424,12675,15866,19399,8789,131,84679,897,481,8934
2021-03-01,262,67,504,865,857,236,552,222,101,0,512,590,318,531,532,97,129741,107,681,6822,70,25394,68194,49816,93588,9139,35140,5537,25394,12432,17947,21236,35554,19963,10881,338,128896,1264,633,12273
2021-03-01,170,31,192,165,361,63,120,102,29,0,298,363,159,214,268,60,97960,34,446,3512,73,14747,50137,39566,64884,5592,29212,4762,14747,7393,11563,15341,34591,12393,8422,261,94110,704,668,8704
2021-03-01,327,150,552,977,750,133,866,163,135,0,589,745,369,391,509,145,130292,150,519,4441,72,24729,67749,49470,92478,7928,36488,5054,24729,11816,17561,20294,37556,19996,9996,315,127198,1259,646,12529
2021-03-01,268,249,672,1645,1261,436,900,345,222,0,926,1289,396,791,962,209,127890,106,1313,9338,138,27594,76476,45015,104070,7417,31913,5685,27594,10349,15412,19105,52950,15109,8566,541,130899,1478,1079,15088
2021-03-01,277,59,327,1165,334,422,266,209,64,0,289,632,237,750,266,96,103089,25,617,2132,56,19536,54711,36788,74246,7329,25561,3898,19536,8782,12886,17422,29235,14356,8817,182,101308,1025,288,8232
2021-03-01,361,178,335,808,877,132,555,157,104,0,584,602,386,451,560,112,158325,197,653,7513,141,28858,80931,62882,109789,9781,46564,6536,28858,15108,21995,25900,42574,23749,14485,366,153590,1575,966,16172
2021-03-01,205,59,189,2121,304,435,307,547,177,0,333,615,120,1174,464,60,101832,192,483,1034,29,17100,50699,42673,67799,8147,30359,4167,17100,9515,13510,16424,27448,18011,8464,157,100713,931,189,8482
2021-03-01,528,2185,299,703,635,495,606,78,102,0,673,655,401,266,682,514,137429,56,353,1599,46,26484,62508,58784,88992,17608,35430,5746,26484,12323,17393,22265,31707,24849,12755,142,135692,1454,536,9952
2021-03-01,1177,2064,4149,9169,6784,4248,5627,1103,809,0,2157,2444,1535,2173,4518,1311,169481,340,1643,28787,578,44554,118228,86140,162782,24069,45845,16226,44554,19470,25671,41992,64663,35381,17191,4628,205697,2712,4965,30917
2021-03-01,806,1615,1170,2828,2486,1765,3590,839,724,0,1401,1527,1045,1580,1634,402,147442,106,1569,8721,241,34276,83259,63151,117535,14298,40947,7906,34276,17593,23151,25291,39832,28823,11720,348,161568,1960,1008,15802
2021-03-01,751,5547,8405,6145,8437,2006,48320,18156,10823,0,7528,4653,3569,6401,16307,3123,109253,156,6024,41208,1579,51501,166948,89188,218449,31262,39864,18062,51501,15851,20135,31574,140514,35516,12546,2916,253020,3230,6838,41633
2021-03-01,219,433,799,7559,2685,1670,1711,583,254,0,1074,1489,482,718,1975,528,71261,277,1321,7927,214,19594,51539,31823,71133,6845,20315,4663,19594,9231,12028,13227,27996,14012,6868,196,91931,1143,798,8888
2021-03-01,247,3107,1625,3856,1969,1619,1821,905,433,0,1842,2556,650,1306,1735,880,108962,142,2976,11636,149,32078,72871,43220,104947,8408,29034,5778,32078,7775,13318,15218,61536,11783,6459,528,131177,1493,1434,13535
2021-03-01,686,172,660,557,952,238,558,103,115,0,491,597,417,466,657,377,171546,145,945,4185,67,32677,82623,67948,115300,18296,42822,6828,32677,15613,22079,26153,40903,32245,13578,231,167624,1826,622,12945
2021-03-01,296,144,474,1856,1173,518,715,510,215,0,521,677,248,1106,684,224,123203,113,699,3721,69,23251,65766,47847,89018,8461,34220,5167,23251,10712,15946,19756,39860,17910,9431,254,122506,1225,565,12317
2021-03-01,156,11,122,199,226,100,78,90,20,0,198,308,89,307,138,27,92567,53,254,1044,13,14990,45035,35820,60025,6329,25864,3626,14990,7840,11441,14491,22944,16223,7916,135,88008,794,192,6717
2021-03-01,263,800,536,2546,1866,952,2991,799,550,0,751,769,503,1193,877,266,67394,72,970,5567,96,18259,45460,25776,63719,5979,16315,3482,18259,9213,10908,12205,21096,12113,5701,203,80556,1056,777,6901
